CODI_DIVISIO_TERRITORIAL;CODI_NACIONALITAT;DESC_NACIONALITAT;NRE_HOMES;NRE_DONES
D-01;108;ESPAÑA;76;65
D-01;110;FRANCIA;2;0
D-01;135;UCRANIA;0;1
D-01;220;GUINEA ECUATORIAL        ;1;0
D-01;228;MARRUECOS;1;2
D-01;341;BOLIVIA                  ;0;4
D-01;342;BRASIL                   ;1;0
D-01;407;CHINA;2;0
D-01;426;PAKISTÁN;0;2
D-02;108;ESPAÑA;27;30
D-02;128;RUMANIA;2;0
D-02;321;HONDURAS;1;0
D-02;343;COLOMBIA                 ;0;1
D-02;351;VENEZUELA;0;1
D-03;108;ESPAÑA;81;49
D-03;110;FRANCIA;0;1
D-03;137;MOLDOVA;0;1
D-03;208;CAMERUN                  ;1;0
D-03;228;MARRUECOS;7;2
D-03;341;BOLIVIA                  ;1;0
D-03;345;ECUADOR;0;1
D-03;426;PAKISTÁN;0;1
D-03;442;AZERBAIYÁN;0;1
D-04;108;ESPAÑA;59;58
D-04;128;RUMANIA;1;1
D-04;137;MOLDOVA;0;1
D-04;139;GEORGIA;0;1
D-04;154;RUSIA;2;1
D-04;228;MARRUECOS;6;3
D-04;234;NIGERIA                  ;0;1
D-04;321;HONDURAS;3;0
D-04;326;REP. DOMINICANA;0;1
D-04;342;BRASIL                   ;1;0
D-04;343;COLOMBIA                 ;0;1
D-04;345;ECUADOR;2;3
D-04;348;PERÚ;2;2
D-04;407;CHINA;2;3
D-04;410;INDIA                    ;1;1
D-04;426;PAKISTÁN;0;1
D-05;108;ESPAÑA;28;28
D-05;128;RUMANIA;1;1
D-05;137;MOLDOVA;0;1
D-05;154;RUSIA;1;0
D-05;228;MARRUECOS;7;10
D-05;302;ESTADOS UNIDOS;1;0
D-05;321;HONDURAS;2;1
D-05;341;BOLIVIA                  ;0;1
D-05;343;COLOMBIA                 ;0;1
D-05;345;ECUADOR;3;3
D-05;347;PARAGUAY;2;1
D-05;348;PERÚ;5;0
D-05;401;AFGANISTÁN;1;0
D-05;407;CHINA;1;0
D-05;410;INDIA                    ;0;2
D-05;426;PAKISTÁN;1;2
D-06;104;BULGARIA                 ;0;1
D-06;108;ESPAÑA;43;50
D-06;110;FRANCIA;0;1
D-06;123;PORTUGAL                 ;3;1
D-06;128;RUMANIA;2;1
D-06;137;MOLDOVA;1;0
D-06;228;MARRUECOS;15;12
D-06;239;SENEGAL                  ;1;0
D-06;321;HONDURAS;0;1
D-06;340;ARGENTINA                ;0;1
D-06;341;BOLIVIA                  ;1;2
D-06;343;COLOMBIA                 ;0;1
D-06;345;ECUADOR;1;4
D-06;347;PARAGUAY;1;0
D-06;348;PERÚ;2;0
D-06;404;BANGLA-DESH              ;0;1
D-06;426;PAKISTÁN;3;0
